documento,nome_canonico,conta_debito,centro_custo,centros_alternativos,confianca,competencias
03571517000129,ASSOCIACAO NEO TV,3.01.01.07.01.0011,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
,AUTO PECAS SOUSA,3.01.01.07.01.0094,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
09382790000191,AXES SERVICOS DE COMUNICACAO L,3.01.01.03.06.0053,0001,,MEDIA,2026-06
02887535000151,B A ELETRICA LTDA,2.01.01.01.01.0016,0001,0004,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
,B LOG,1.01.05.01.01.0001,0001,,MEDIA,2026-06
16789176000104,B2A COMERCIO M T INFORMATICA,2.01.01.01.01.0238,0001,,ALTA,2026-01;2026-04;2026-05;2026-06
07207996000150,BANCO BRADESCO FINANCIAMENTOS SA,2.01.01.07.01.0013,0001,,ALTA,2026-01;2026-03;2026-04;2026-06
65927063000133,BANPAR FOMENTO COMERCIAL E SER,2.01.01.01.01.0064,0001,,MEDIA,2026-06
,BENY MATERIAIS DE CONSTRUCAO LTDA,2.01.01.01.01.0630,0001,,MEDIA,2026-06
52568821000122,BRADESCO ADMINISTRADORA DE CON,1.07.04.01.03.0022,0001,,AMBIGUO_CONTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
52568821000122,BRADESCO ADMINISTRADORA DE CON,1.07.04.01.03.0023,0001,,AMBIGUO_CONTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
52568821000122,BRADESCO ADMINISTRADORA DE CON,1.07.04.01.03.0024,0001,,AMBIGUO_CONTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
52568821000122,BRADESCO ADMINISTRADORA DE CON,1.07.04.01.03.0025,0001,,AMBIGUO_CONTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
52568821000122,BRADESCO ADMINISTRADORA DE CON,1.07.04.01.03.0026,0001,,AMBIGUO_CONTA,2026-06
52568821000122,BRADESCO ADMINISTRADORA DE CON,1.07.04.01.03.0027,0001,,AMBIGUO_CONTA,2026-06
52568821000122,BRADESCO ADMINISTRADORA DE CON,1.07.04.01.03.0028,0001,,AMBIGUO_CONTA,2026-06
52568821000122,BRADESCO ADMINISTRADORA DE CON,1.07.04.01.03.0029,0001,,AMBIGUO_CONTA,2026-06
52568821000122,BRADESCO ADMINISTRADORA DE CON,1.07.04.01.03.0030,0001,,AMBIGUO_CONTA,2026-06
52568821000122,BRADESCO ADMINISTRADORA DE CON,1.07.04.01.03.0031,0001,,AMBIGUO_CONTA,2026-06
01625205000125,C F BORGES EPP,1.01.05.01.01.0001,0001,,AMBIGUO_CONTA,2026-06
01625205000125,C F BORGES EPP,2.01.01.01.01.0002,0001,,AMBIGUO_CONTA,2026-04
23350169000177,C2M SERVICOS DE INFORMATICA E,3.01.01.07.01.0072,0001,,MEDIA,2026-06
,CAERD,3.01.01.07.01.0049,0001,,MEDIA,2026-06
00360305000104,CAIXA ECONOMICA FEDERAL,2.01.01.03.01.0002,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
,CAJU,2.01.01.01.01.0237,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
07942716000157,CARTORIO DO 7 TABELIONATO DE N,2.01.01.01.01.0158,0001,,ALTA,2026-01;2026-03;2026-06
04895728000180,CENTRAIS ELETRICAS DO PARA S A,3.01.01.03.06.0048,0001,,MEDIA,2026-06
,CERRP SAO JOSE DO RIO PRETO CB,3.01.01.07.01.0048,0001,,MEDIA,2026-06
,CHARLES SAMPAIO DO NASCIMENTO,3.01.01.07.01.0103,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
,CIRION TECHNOLOGIES DO BRASIL,2.01.01.01.01.0791,0005,0001,ALTA,2026-04;2026-05;2026-06
,CLARO S A,2.01.01.01.01.0043,0001,,AMBIGUO_CONTA,2026-03
,CLARO S A,3.01.01.03.06.0002,0001,,AMBIGUO_CONTA,2026-03;2026-04;2026-05
,CLARO S A,3.01.01.07.01.0072,0001,,AMBIGUO_CONTA,2026-06
19402859000155,CLICK IP I MAIS,1.01.01.02.01.0004,0001,,MEDIA,2026-06
13169745000120,CLICK IP LOCACAO DE EQUIPAMENTOS LTDA,1.01.05.01.02.0009,0001,,MEDIA,2026-06
13184931000139,CLICK IP PROVEDORES DE ACESSO LTDA,1.01.05.01.02.0007,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
19402859000155,CLICK IP SERVICOS DE COMUNICAC,1.01.05.01.01.0001,0001,,MEDIA,2026-06
39809271000128,CLICK IP TECNOLOGIA LTDA,1.01.05.01.02.0008,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
,CLICKSIGN GESTAO DE DOCUM S A,2.01.01.01.01.0194,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
05965546000109,COMPANHIA DE ELETRICIDADE DO AMAPA CEA,3.01.01.07.01.0048,0001,,MEDIA,2026-06
16577631000299,CONECTCAR I D P E S DM ELET SA,3.01.01.07.01.0073,0001,,MEDIA,2026-06
,CONNECT FIBER,2.01.01.01.01.0045,0001,,MEDIA,2026-06
04322541000197,CONSELHO REGIONAL DE ENGENHARIA E AGRO DO ESTADO D,3.01.01.07.03.0011,0001,,MEDIA,2026-06
57277059000149,CONSORCIO ABERTO ON DO OPERA,3.01.01.03.06.0055,0001,,ALTA,2026-01;2026-05;2026-06
40117068000170,CONVERGE ISP LTDA,2.01.01.01.01.0200,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
,CPFL CIA PAULISTA FORCA LUZ,3.01.01.07.01.0048,0001,,MEDIA,2026-06
,CUSTOMER FIRST,2.01.01.01.01.0539,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
,DARF,2.01.01.03.03.0004,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
08170849000115,DESKTOP S A,2.01.01.01.01.0852,0005,,ALTA,2026-02;2026-03;2026-04;2026-05;2026-06
02457533000203,DICOMP DISTRIBUIDORA E LTDA,2.01.01.01.01.0713,0005,,MEDIA,2026-06
59078538000161,DWTEC SUPORTE,2.01.01.01.01.0718,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
39269353000127,EDGEUNO LTDA,2.01.01.01.01.0122,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
,EMBRACON ADMINISTRADORA DE CONSORCIO LTDA,1.07.04.01.03.0033,0001,0007,AMBIGUO_CONTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
,EMBRACON ADMINISTRADORA DE CONSORCIO LTDA,1.07.04.01.03.0034,0001,0007,AMBIGUO_CONTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
,EMBRACON ADMINISTRADORA DE CONSORCIO LTDA,1.07.04.01.03.0035,0001,0007,AMBIGUO_CONTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
,EMBRATEL,2.01.01.01.01.0043,0001,,AMBIGUO_CONTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
,EMBRATEL,3.01.01.03.06.0002,0001,,AMBIGUO_CONTA,2026-06
03467321000199,ENERGISA MATO GR D DE ENERG SA,3.01.01.03.06.0051,0001,,AMBIGUO_CONTA,2026-06
03467321000199,ENERGISA MATO GR D DE ENERG SA,3.01.01.07.01.0048,0001,,AMBIGUO_CONTA,2026-06
03467321000199,ENERGISA MATO GRO DIST ENER SA,3.01.01.07.01.0048,0001,,MEDIA,2026-06
,ENERGISA MT,3.01.01.03.06.0048,0001,,MEDIA,2026-06
,ENERGISA R DISTA DE EN SA,3.01.01.07.01.0048,0001,,MEDIA,2026-06
01543032000104,EQUATORIAL GOIAS DISTRIBUIDORA,3.01.01.07.01.0048,0001,,MEDIA,2026-06
04895728000180,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S A,3.01.01.03.06.0051,0001,,AMBIGUO_CONTA,2026-06
04895728000180,EQUATORIAL PARA DISTRIBUIDORA DE ENERGIA S A,3.01.01.07.01.0048,0001,,AMBIGUO_CONTA,2026-06
03672254000144,EQUINIX DO BRASIL SOLUCOES DE TECNOLOGIA,1.07.04.01.01.0006,0001,,ALTA,2026-01;2026-03;2026-04;2026-05;2026-06
14074423000160,EQUIPE ASSISTENCIA MEDICA LTDA,2.01.01.01.01.0002,0001,,MEDIA,2026-06
00394585000171,ESTADO DE RONDONIA,3.01.01.07.03.0004,0001,0006,MEDIA,2026-06
,EXTRA SERVICOS,2.01.01.01.01.0056,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
38660152000193,FALCAO ACO LTDA,2.01.01.01.01.0869,0001,,MEDIA,2026-03;2026-06
,FARMA 800,2.01.01.01.01.0420,0001,,MEDIA,2026-04;2026-06
,FELIPE NOGUEIRA VIEIRA,3.01.01.03.06.0050,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
02010281000199,FIBRACEM TELEINFORMATICA LTDA,2.01.01.01.01.0029,0001,,ALTA,2026-03;2026-04;2026-05;2026-06
,FRAMEWORK TELECOM,2.01.01.01.01.0202,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
07388289000107,FUNDO DE UNIVERSALIZACAO DOS S,3.01.01.07.03.0013,0001,,MEDIA,2026-06
09417082000149,G G M DE SOUZA EMPREENDIMENTOS,3.01.01.07.01.0096,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
,GALAX PAY PAGAMENTOS ELETRONIC,2.01.01.01.01.0007,0001,0005,MEDIA,2026-06
59717553000102,GRUPO MULTI S A,2.01.01.01.01.0006,0001,0005,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
,H S E SERVICOS,2.01.01.01.01.0167,0001,,MEDIA,2026-06
26386695000185,HALTIERES SOUZA ALMEIDA ME,2.01.01.01.01.0002,0001,,MEDIA,2026-06
27583784000184,HUGE NETWORKS SEGURANCA DA INF,2.01.01.01.01.0168,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
27431190000158,IMOVEIS PEREIRA ADMINISTRACAO,3.01.01.07.01.0100,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
37753137000127,IVERSON MIRANDA DA SILVA 93578,2.01.01.01.01.0002,0001,,MEDIA,2026-06
08707660000119,IVO COELHO DE MACEDO,2.01.01.01.01.0167,0001,,ALTA,2026-01;2026-02;2026-03;2026-06
30268423000158,JANAYNA APARECIDA KLAUMANN IZI,2.01.01.01.01.0422,0001,,MEDIA,2026-06
,JS ENTULHO COLETA DE RESIDUOS PERIGOSOS,2.01.01.01.01.0002,0001,,MEDIA,2026-06
04231205000139,JUNTA COMERCIAL DO ESTADO D,3.01.01.07.03.0011,0001,,MEDIA,2026-06
34560193000157,KC JOBIM COMERCIO DE TINTAS LT,2.01.01.01.01.0460,0001,,ALTA,2026-04;2026-05;2026-06
27584111000149,KOBAYASHE MONTEZANI COMERCIO E,2.01.01.01.01.0790,0006,,MEDIA,2026-01;2026-06
01426365000145,LEBLON TECNOLOGIA E COMPUTADOR,1.01.05.01.01.0001,0001,0007,AMBIGUO_CONTA,2026-06
01426365000145,LEBLON TECNOLOGIA E COMPUTADOR,2.01.01.01.01.0363,0001,0007,AMBIGUO_CONTA,2026-05;2026-06
42752233000190,LENGE ENGENHARIA COMERCIO E SE,2.01.01.01.01.0731,0009,,ALTA,2026-01;2026-02;2026-04;2026-05;2026-06
12400421000199,LIBRA FIDC MULTISSETORIAL,2.01.01.01.01.0064,0001,,MEDIA,2026-06
,LIDIANE DOS SANTOS NUNES,3.01.01.03.06.0049,0001,,MEDIA,2026-06
05917486000140,LIVETECH DA BAHIA INDUSTRIA E COMERCIO S,1.01.05.01.01.0001,0001,,AMBIGUO_CONTA,2026-06
05917486000140,LIVETECH DA BAHIA INDUSTRIA E COMERCIO S,2.01.01.01.01.0140,0001,,AMBIGUO_CONTA,2026-04;2026-05;2026-06
05917486000140,LIVETECH DA BAHIA INDUSTRIA E COMERCIO S,2.01.01.17.01.0013,0001,,AMBIGUO_CONTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
05917486000140,LIVETECH DA BAHIA INDUSTRIA E COMERCIO S,2.01.01.17.01.0014,0001,,AMBIGUO_CONTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
05917486000140,LIVETECH DA BAHIA INDUSTRIA E COMERCIO S,2.01.01.17.01.0015,0001,,AMBIGUO_CONTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
05917486000140,LIVETECH DA BAHIA INDUSTRIA E COMERCIO S,2.01.01.17.01.0016,0001,,AMBIGUO_CONTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
05917486000140,LIVETECH DA BAHIA INDUSTRIA E COMERCIO S,2.03.01.02.01.0001,0001,,AMBIGUO_CONTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
,MANAUS AMBIENTAL AGUAS MANAUS,3.01.01.07.01.0049,0001,,MEDIA,2026-06
09584854000137,MANAUS TRANSMISSORA DE ENERGIA,2.01.01.01.01.0665,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
,MARA S HOLDING LTDA,3.01.01.07.01.0095,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
,MARCIA RUTH MARTINS DA SILVA 30962919268,3.01.01.03.06.0049,0001,,MEDIA,2026-06
,MARLINDA PEREIRA DE SOUZA,3.01.01.07.01.0080,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
,MARTA MARIA SOUSA DE BRITO CAM,3.01.01.07.01.0083,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
09274139000106,MFS DE BARROS SERVICOS ME,2.01.01.01.01.0211,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
28781327000167,MULTIAVALIACAO TECNOLOGIA EM A,1.01.05.01.01.0001,0001,,MEDIA,2026-06
,MULTISEG DISTRIBUIDORA,2.01.01.01.01.0832,0004,,MEDIA,2026-06
02162259000750,MWM TUPY DO BRASIL LTDA,2.01.01.01.01.0247,0001,0004;0011,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
10994109000145,NOVA INTERNET E TECNOLOGIA LTD,2.01.01.01.01.0487,0010,0001,ALTA,2026-02;2026-03;2026-04;2026-05;2026-06
58119199000151,ODONTOPREV S A,3.01.01.07.02.0019,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
50060613000192,OPTIMIZE SAUDE E BEM ESTAR LTD,3.01.01.07.01.0123,0001,,ALTA,2026-03;2026-04;2026-05;2026-06
05912502000102,OQUEI TELECOM LTDA,3.01.01.07.01.0072,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
36187791000158,ORLEAN DE AQUINO AZEVEDO,1.01.05.01.01.0001,0001,,MEDIA,2026-06
,ORSEGUPS MONITORAMENTO ELETRONICO LTDA,2.01.01.01.01.0359,0005,0001;0006;0007;0009;0010,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
45723713000111,P R SOUSA,2.01.01.01.01.0813,0009,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
03549807000176,PADTEC S A,2.01.01.01.01.0007,0001,0005;0007,AMBIGUO_CONTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
03549807000176,PADTEC S A,3.01.01.07.03.0013,0001,0005;0007,AMBIGUO_CONTA,2026-06
14630124000165,PAGBRASIL INSTITUICAO DE PAGAM,3.01.01.07.01.0073,0001,,MEDIA,2026-06
18191228000171,PJBANK PAGAMENTOS S A,2.01.01.01.01.0183,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
,PLASTSUL PLASTICOS,2.01.01.01.01.0422,0001,,MEDIA,2026-06
,PMZ,2.01.01.01.01.0834,0001,0007,ALTA,2026-01;2026-05;2026-06
01106257000276,POOL ENGENHARIA SERVICO INDUST,2.01.01.01.01.0177,0001,,ALTA,2026-03;2026-04;2026-05;2026-06
,POSTO PIO XII,3.01.01.07.01.0015,0001,,MEDIA,2026-02;2026-06
,POTTENCIAL SEGURADORA S A,3.01.01.07.01.0056,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
46588950000180,PREFEITURA MUNICIPAL DE SAO JO,3.01.01.07.03.0011,0001,,MEDIA,2026-06
,PRESLEY INDUSTRIA C E P R LTDA,2.01.01.01.01.0070,0001,,MEDIA,2026-06
,PRODAM PROCESSAMENTO DE DADOS,2.01.01.01.01.0052,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
,QUESIA MARQUES DO NASCIMENTO,2.01.01.01.01.0002,0009,,MEDIA,2026-06
,RD GESTAO E SISTEMAS S A,2.01.01.01.01.0246,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
,RECEITA FED DARF NUMERADO CB,2.01.01.03.01.0001,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
67915785000101,RED S A,2.01.01.01.01.0064,0001,,MEDIA,2026-06
26893742000187,REICHLE DE MASSARI COMERCIO E,2.01.01.01.01.0215,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-06
,RENATA MORALES FERNANDES,3.01.01.07.01.0097,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
22589434000101,RESGATE VERTICAL,2.01.01.01.01.0893,0006,,MEDIA,2026-05;2026-06
,ROBERTO WAGNER DOS SANTOS SAUNIER,3.01.01.07.01.0079,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
,RODOBENS LOCACAO DE VEICULOS LTDA,2.01.01.01.01.0519,0005,,ALTA,2026-01;2026-02;2026-03;2026-06
,S E T SERVICOS EM TECNOLOGIA,2.01.01.01.01.0145,0001,,MEDIA,2026-06
10337397000165,S MASSULO DO REGO LTDA,2.01.01.01.01.0045,0001,,ALTA,2026-01;2026-02;2026-03;2026-06
84089358000122,S V INSTALACOES LTDA,2.01.01.01.01.0024,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
,SAAE,3.01.01.07.01.0049,0001,,MEDIA,2026-06
,SAAE MINEIROS,3.01.01.07.01.0049,0001,,MEDIA,2026-06
,SAFE2PAY,3.01.01.07.01.0102,0001,,MEDIA,2026-06
,SDC TECHNOLOGY A E S LTDA,2.01.01.01.01.0768,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
,SEFAZ AM,2.01.01.03.03.0001,0001,,MEDIA,2026-06
,SEFAZ AMAZONAS,2.01.01.03.03.0009,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
,SEFAZ PARA ICMS COD BARRAS,2.01.01.03.03.0001,0004,,MEDIA,2026-06
,SEMAE SAO JOSE DO RIO PRETO,3.01.01.07.01.0049,0001,,MEDIA,2026-06
,SIMPLES NACIONAL,1.01.05.01.02.0009,0001,,ALTA,2026-01;2026-03;2026-04;2026-05;2026-06
15384965000100,SKYLANE OPTICS DO BRASIL SERVI,2.01.01.01.01.0040,0007,0005,MEDIA,2026-06
09121004000364,SLIM NET TELECOM LTDA,3.01.01.07.01.0072,0001,,MEDIA,2026-06
,SOLOMAX SONDAGENS E FUNDACOES,1.01.05.01.01.0001,0001,,MEDIA,2026-06
,SOTEMAQ SOCIEDADE TECNICA DE MAQUINAS LTDA,2.01.01.01.01.0002,0001,,MEDIA,2026-06
,SUPERINTENDENCIA DA ZONA FRANCA DE MANAUS,3.01.01.07.03.0014,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
44250542000198,SUZIANA LIMA DA SILVA,2.01.01.01.01.0145,0001,,MEDIA,2026-06
,SV FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,2.01.01.01.01.0477,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
,TATIANA RODRIGUES DE OLIVEIRA,3.01.01.07.01.0101,0001,,ALTA,2026-01;2026-02;2026-03;2026-05;2026-06
28268233000199,TD SYNNEX,2.01.01.01.01.0679,0011,,ALTA,2026-02;2026-03;2026-04;2026-05;2026-06
20609743000170,TELCABLES BRASIL LTDA,2.01.01.01.01.0733,0005,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
03611622000144,TELCOMP ASSOCIACAO BRASILEIRA,3.01.01.07.01.0102,0001,,MEDIA,2026-06
26125634000164,TELCONSULTORIA CONSULTORIA EM,2.01.01.01.01.0864,0001,,MEDIA,2026-06
04615399000176,TELECOMUNICACOES ELE MELO LTDA,2.01.01.01.01.0161,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
02820966000109,TERACOM TELEMATICA S A,2.01.01.01.01.0031,0001,0004;0005;0006;0007,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
,TIM S A,2.01.01.01.01.0042,0001,,AMBIGUO_CONTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
,TIM S A,3.01.01.03.06.0002,0001,,AMBIGUO_CONTA,2026-01;2026-03;2026-05
56994108000100,TMS REFRIGERACAO LTDA,2.01.01.01.01.0685,0001,,ALTA,2026-02;2026-05;2026-06
,TODOBRASIL TRANSPORTES LTDA,2.01.01.01.01.0251,0001,0007,ALTA,2026-02;2026-03;2026-04;2026-06
,TOTAL FRIO REFRIGERACAO,2.01.01.01.01.0685,0001,,MEDIA,2026-06
59819164000198,TRIND ASSESSORIA DE COBRANCAS,3.01.01.07.01.0084,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
,VIA LACTEA VEICULOS,2.01.01.01.01.0814,0007,,MEDIA,2026-01;2026-06
,VIVO AM,3.01.01.03.06.0002,0001,,MEDIA,2026-06
02041460000193,VTAL REDE NEUTRA DE TELECOMUN,2.01.01.01.01.0137,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
12126445000100,W S DE OLIVEIRA COMERCIO LTDA,2.01.01.01.01.0002,0011,,MEDIA,2026-06
,WECLIX,3.01.01.07.01.0072,0001,,MEDIA,2026-06
43648971000155,WURTH DO BRASIL PECAS DE FIXACAO LTDA,2.01.01.01.01.0181,0001,0004,ALTA,2026-03;2026-04;2026-05;2026-06
14338304000178,YAPAY PAGAMENTOS ONLINE LTDA,2.01.01.01.01.0234,0001,,ALTA,2026-01;2026-02;2026-03;2026-04;2026-05;2026-06
14096190000105,ZENVIA MOBILE SERV DIG S A,2.01.01.01.01.0880,0001,,MEDIA,2026-05;2026-06
